game_pk,game_type,season,game_date,game_date1,game_date2,game_number,scheduled_innings,innings_played,status_code,home_team,away_team,home_score,away_score
630852,R,2020,2020-08-30 19:07:00+00:00,2020-08-30 19:07:00+00:00,,1,9,,S,185.0,189.0,,
630853,R,2020,2020-08-26 22:05:00+00:00,2020-08-26 22:05:00+00:00,,1,9,,S,180.0,186.0,,
630854,R,2020,2020-09-27 19:05:00+00:00,2020-09-27 19:05:00+00:00,,1,9,,S,180.0,175.0,,
630855,R,2020,2020-08-25 22:05:00+00:00,2020-08-25 22:05:00+00:00,,1,9,,S,180.0,186.0,,
630856,R,2020,2020-07-26 17:05:00+00:00,2020-07-26 17:05:00+00:00,,1,9,9.0,F,180.0,187.0,2.0,3.0
630857,R,2020,2020-09-07 22:05:00+00:00,2020-09-07 22:05:00+00:00,,1,9,,S,180.0,181.0,,
630858,R,2020,2020-09-27 19:07:00+00:00,2020-09-27 19:07:00+00:00,,1,9,,S,185.0,189.0,,
630859,R,2020,2020-09-07 22:37:00+00:00,2020-09-07 22:37:00+00:00,,1,9,,S,185.0,187.0,,
630860,R,2020,2020-09-08 22:37:00+00:00,2020-09-08 22:37:00+00:00,,1,9,,S,185.0,187.0,,
630861,R,2020,2020-07-27 22:05:00+00:00,2020-07-27 22:05:00+00:00,,1,9,9.0,F,180.0,185.0,1.0,4.0
630862,R,2020,2020-08-25 22:37:00+00:00,2020-08-25 22:37:00+00:00,,1,9,,S,185.0,182.0,,
630863,R,2020,2020-08-26 22:37:00+00:00,2020-08-26 22:37:00+00:00,,1,9,,S,185.0,182.0,,
630864,R,2020,2020-09-09 22:37:00+00:00,2020-09-09 22:37:00+00:00,,1,9,,S,185.0,187.0,,
630865,R,2020,2020-08-27 22:37:00+00:00,2020-08-27 22:37:00+00:00,,1,9,,S,185.0,182.0,,
630866,R,2020,2020-07-28 22:05:00+00:00,2020-07-28 22:05:00+00:00,,1,9,9.0,F,180.0,185.0,1.0,5.0
630867,R,2020,2020-09-08 22:05:00+00:00,2020-09-08 22:05:00+00:00,,1,9,,S,180.0,181.0,,
630868,R,2020,2020-09-11 22:37:00+00:00,2020-09-11 22:37:00+00:00,,1,9,,S,185.0,175.0,,
630869,R,2020,2020-09-10 22:05:00+00:00,2020-09-10 22:05:00+00:00,,1,9,,S,180.0,164.0,,
630870,R,2020,2020-09-12 22:37:00+00:00,2020-09-12 22:37:00+00:00,,1,9,,S,185.0,175.0,,
630871,R,2020,2020-08-28 22:37:00+00:00,2020-08-28 22:37:00+00:00,,1,9,,S,185.0,189.0,,
630872,R,2020,2020-08-16 19:07:00+00:00,2020-08-16 19:07:00+00:00,,1,9,,S,185.0,181.0,,
630873,R,2020,2020-09-11 22:05:00+00:00,2020-09-11 22:05:00+00:00,,1,9,,S,180.0,164.0,,
630874,R,2020,2020-08-04 23:05:00+00:00,2020-08-04 23:05:00+00:00,,1,9,9.0,F,180.0,175.0,5.0,3.0
630875,R,2020,2020-09-13 19:07:00+00:00,2020-09-13 19:07:00+00:00,,1,9,,S,185.0,175.0,,
630876,R,2020,2020-09-21 22:37:00+00:00,2020-09-21 22:37:00+00:00,,1,9,,S,185.0,187.0,,
630877,R,2020,2020-09-12 22:05:00+00:00,2020-09-12 22:05:00+00:00,,1,9,,S,180.0,164.0,,
630878,R,2020,2020-08-05 22:05:00+00:00,2020-08-05 22:05:00+00:00,,1,9,9.0,F,180.0,175.0,1.0,3.0
630879,R,2020,2020-08-07 22:05:00+00:00,2020-08-07 22:05:00+00:00,,1,9,9.0,F,180.0,189.0,0.0,11.0
630880,R,2020,2020-08-08 22:05:00+00:00,2020-08-08 22:05:00+00:00,,1,9,,S,180.0,189.0,,
630881,R,2020,2020-09-22 22:37:00+00:00,2020-09-22 22:37:00+00:00,,1,9,,S,185.0,187.0,,
630882,R,2020,2020-08-09 16:35:00+00:00,2020-08-09 16:35:00+00:00,,1,9,,S,180.0,189.0,,
